model_name,loo_weight
fixed_nage_nloc_nclone,0.195888451201469
fixed_full_nclone_nssub,0.108081533007944
fixed_nage_nloc_nbiol,0.0776689746074185
fixed_nage_nloc_nsub,0.0712780222911406
fixed_full_nbiol,0.0677377094939976
fixed_nage_nclone_nssub,0.0671996267349142
fixed_full_nsub,0.0654623437967369
fixed_nage_nloc_allbiol,0.0625077925717759
fixed_nage_allbiol,0.0568215265333087
fixed_nage_nloc_nssub,0.0426026887541198
fixed_full_nssub,0.0388988858055977
fixed_nage_nloc_nsub_nsclone,0.0353002883676114
fixed_nage_nssub,0.0259901518542674
fixed_nage_nloc_nsclone,0.0240612755864768
fixed_full_nclone,0.0196755147768293
fixed_full_nsclone,0.0156292513681665
fixed_nint_nsclone,0.0144442162085633
fixed_nage_nbiol,0.00896827501928881
fixed_nage_nsub_nsclone,0.00173365628224293
fixed_nint_allbiol,1.32203082886656e-05
fixed_nint_nclone,9.24355233617272e-06
fixed_nage_nsclone,4.49335036861483e-06
fixed_full_allbiol,4.2629848287655e-06
fixed_nint_nssub,3.02155374365404e-06
fixed_nage_nloc_nseither,2.97656364393393e-06
fixed_full_nseither,1.79984568809763e-06
fixed_nage_nseither,1.62881705952462e-06
fixed_nage_nclone,1.20414738080985e-06
fixed_nloc_nclone_nssub,1.14270582797377e-06
fixed_nint_nseither,1.01103687922465e-06
fixed_full_nsub_nsclone,8.19466388883795e-07
fixed_nage_nsub,7.907863297502e-07
fixed_nage_nloc_nclone_nssub,6.90688115608937e-07
fixed_nloc_nsub,6.72852230862957e-07
fixed_nloc_nsclone,6.25180762865593e-07
fixed_nint_nbiol,4.98703063894308e-07
fixed_nint_nclone_nssub,4.41747750805158e-07
fixed_nint_nsub_nsclone,4.25321214191361e-07
fixed_nloc_nseither,3.29906116744619e-07
fixed_nloc_nssub,1.29947371228002e-07
fixed_nloc_allbiol,1.12309979298231e-07
fixed_nloc_nclone,9.36991836740711e-08
fixed_nint_nsub,9.12352273196314e-08
fixed_nloc_nsub_nsclone,8.38801590408167e-08
fixed_nloc_nbiol,5.14819017379695e-09
